id,name,calories,proteins,fat,carbohydrate,status,alasan,saran_porsi
1,Abon,280.0,9.2,28.4,0.0,TIDAK_BISA,lemak 28.4g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
2,Abon Haruwan,513.0,23.7,37.0,21.3,TIDAK_BISA,lemak 37.0g (melebihi batas 25g); kalori 513.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
3,Agar-Agar,0.0,0.0,0.2,0.0,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
4,Akar Tonjong Segar,45.0,1.1,0.4,10.8,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
5,Aletoge Segar,37.0,4.4,0.5,3.8,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
6,Alpukat Segar,85.0,0.9,6.5,7.7,BISA,lemak 6.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
7,Ampas Kacang Hijau,96.0,3.7,0.6,19.1,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
8,Ampas Tahu,414.0,26.6,18.3,41.3,NETRAL,"lemak 18.3g (perlu dibatasi, batas aman 18g); kalori 414.0 kkal cukup tinggi untuk kondisi ini; protein 26.6g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
9,Ampas Tahu Kukus,75.0,4.1,2.1,10.7,BISA,lemak 2.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
10,Ampas Tahu Mentah,67.0,5.0,2.1,8.1,BISA,lemak 2.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
11,Anak Sapi Daging Gemuk Segar,184.0,18.8,14.0,0.0,NETRAL,lemak 14.0g (zona netral 10–18g); protein 18.8g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
12,Anak Sapi Daging Kurus Segar,174.0,19.6,10.0,0.0,BISA,lemak 10.0g (di bawah batas 10g); protein 19.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
13,Anak Sapi Daging Sedang Segar,190.0,19.1,12.0,0.0,NETRAL,lemak 12.0g (zona netral 10–18g); protein 19.1g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
14,Andaliman Segar,99.0,4.6,1.0,18.0,BISA,lemak 1.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
15,Andewi,25.0,1.6,0.2,5.3,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
16,Anggur Hutan Segar,30.0,0.5,0.2,6.8,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
17,Angsa,354.0,16.4,31.5,0.0,TIDAK_BISA,lemak 31.5g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
18,Anyang Sayur,126.0,3.4,7.9,10.3,BISA,lemak 7.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
19,Apel,58.0,0.3,0.4,14.9,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
20,Apel Malang Segar,57.0,0.5,0.4,12.8,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
21,Arbei,37.0,0.8,0.5,8.3,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
22,Ares Sayur,113.0,0.9,7.2,11.2,BISA,lemak 7.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
23,Arrowroot Segar,102.0,1.0,0.2,24.1,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
24,Arwan Sirsir,277.0,2.4,25.0,10.7,LIMIT,"lemak 25.0g (perlu dibatasi, batas aman 18g)","Batasi 1-2x per minggu, porsi sangat kecil (≤50g). Pilih metode masak rendah minyak."
25,Asam Kandis Segar,75.0,0.2,1.1,16.1,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
26,Asam Masak Di Pohon,239.0,2.8,0.6,62.5,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
27,Asam Payak Segar,135.0,0.8,0.4,32.1,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
28,Asan Kandis Kering,261.0,0.9,1.6,63.3,BISA,lemak 1.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
29,Asinan Bogor Sayuran,98.0,3.9,2.6,14.8,BISA,lemak 2.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
30,Ayam,302.0,18.2,25.0,0.0,NETRAL,"lemak 25.0g (perlu dibatasi, batas aman 18g); protein 18.2g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
